country,percent
AGO,0
QAT,0
BGD,0
BGR,0.002339042
PAK,0
PAN,0
VNM,0
KOR,0.249946523
PRK,0.249946523
BWA,0
TZA,0
KNA,0
GIB,0
DJI,0
GIN,0
FIN,2.568461349
THA,0.013580966
SYC,0
NPL,0
MAR,0
YEM,0
PHL,0
ZAF,0.113747184
KIR,0
MNE,0
VIR,0
BEN,0
GUF,0
BEL,0.199446059
GUM,0
GBR,0.519762001
GUY,0
CRI,0.081509754
CMR,0
LSO,0
HUN,0.193414395
BLZ,0
TTO,0
TCD,0
GEO,0
MHL,0
DOM,0
BLR,0
GRD,0
GRL,0
AND,0
MOZ,0
MKD,0
VCT,0
TJK,0
MEX,0.028305042
LCA,0
IND,0.000218176
NOR,2.783990846
FJI,0.006678447
HND,0
SMR,0
PER,0
VUT,0
COG,0
ETH,0
COM,0
COL,0
GGY,0
MDG,0
ANT,0
MDV,0
SRB,0
LTU,0
RWA,0
ZMB,0
POL,0.129961704
JEY,0
MDA,0
AUS,1.974611016
AUT,0.76534273
PLW,0
ALB,0
MMR,0
GNQ,0
WSM,0
UKR,0.00077697
GNB,0
TON,0
CAN,1.184557509
ERI,0
GRC,0.191062242
SOM,0
GAB,0
IRQ,0
IRL,0.281141005
ABW,0
SYR,0
NZL,0.631215367
NCL,0
ARE,0
ARG,0.029527065
SDN,0
SSD,0
BHR,0
ARM,0
PNG,0
LIE,0
EGY,0.000975791
NAM,0
SVK,0.127829232
GHA,0
BOL,0
FSM,0
JOR,0
LBR,0
LBY,0
MYS,0.025538478
PRI,0
CPV,0
PRT,0.450161608
KHM,0
PRY,0
SAU,0
LBN,0
SVN,0.409792399
BFA,0
CHE,2.167270203
MRT,0
HRV,0.097213389
CHL,0.071783144
CHN,0.00016868
JAM,0
URY,0
NIC,0
KAZ,0
PYF,0
NGA,0
PSE,0
COD,0
DEU,0.463635096
LKA,0
MWI,0
CIV,0
UGA,0
TKM,0
NLD,1.967087737
BMU,0
ROU,0.003703214
MNG,0
MAC,0
AFG,0
BDI,0
LVA,0
RUS,0.013447238
HTI,0
STP,0
BTN,0
CZE,0.581319529
ATG,0
MUS,0
DMA,0
LUX,0.302155121
ISR,0.398833333
IDN,0
SUR,0
ISL,2.667825265
NER,0
ECU,0.016400751
HKG,1.334568031
SEN,0
TLS,0
FRA,0.590619383
GMB,0
FRO,0
GTM,0
DNK,0.578329976
ZWE,0
CUB,0
KEN,0
TUR,0.008457732
OMN,0
TUV,0
ITA,0.122462053
BRN,0
TUN,0
BRB,0
BRA,0.025498253
USA,2.271673294
SWE,1.716364182
AZE,0
LAO,0
SWZ,0
VEN,0.041587233
CYP,0.056367482
BIH,0
CAF,0
SGP,0.763278139
IRN,0
UZB,0
KWT,0.091082245
TGO,0
CYM,0
EST,0.300711282
ESP,0.127689668
SLV,0
MLI,0
MLT,0
SLE,0
BHS,0
SLB,0
JPN,0.401277526
KGZ,0
DZA,0
NRU,0
